Work Type	Volunteering Opportunity: Ref	No. of Volunteers Required	Organisation: Organisation Name	Client Group	Title	Full Description	Organisation: Aims And Objectives	Experience Required	Minimum Age	Monday Morning	Monday Afternoon	Monday Evening	Tuesday Morning	Tuesday Afternoon	Tuesday Evening	Wednesday Morning	Wednesday Afternoon	Wednesday Evening	Thursday Morning	Thursday Afternoon	Thursday Evening	Friday Morning	Friday Afternoon	Friday Evening	Saturday Morning	Saturday Afternoon	Saturday Evening	Sunday Morning	Sunday Afternoon	Sunday Evening	Travel Expenses	Travel Details	Organisation Contact	Organisation: Phone	Organisation: Email
Catering	VO38780	3	St Ninian's Stay and Play Family Support Group	Families	Lunch Assistant	"To assist in setting up attractive lunch tables and serving a simple lunch consisting of home made soup, rolls, meats, fruit, vegetables and drinks. Lunch takes into account the various ages of children attending and reflects the needs of babies and babies at the weaning stage. We offer families tasters of foods new to them and encouraging families to enjoy this opportunity would be part of your role. Helping to clear up the lunch area ready for play activities to resume, would complete this opportunity within a happy team."	"We aim to support parents and their children under 5 years. In Mid Craigie many parents are unemployed resulting in low self esteem and self confidence. Juvenile crime is high. The local school, including the nursery department, has the highest exclusion rate in Dundee. We will provide activities for both children and parents designed to improve social wellbeing."	An interest in working around young children and their parents. Skills and an interest in food for young children would be valued.	18	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Bus fares will be reimbursed on production of ticket.	"St Ninian's Church, Kingsway East, Dundee. This is easily reached by taking a bus to Asda's in Mid Craigie and walking along to the church."	Katherine Dunn	01382 453818	stninianstayandplay@gmail.com
Practical /DIY	VO38781	3	St Ninian's Stay and Play Family Support Group	Families	Resource Assistant	Equipment for the play room is stored in many areas and some of it is of medium weight. We require someone who is prepared to move such equipment to the appropriate place and put it away at the end of the session. Cleaning and maintenance of equipment would suit someone interested in basic DIY.	"We aim to support parents and their children under 5 years. In Mid Craigie many parents are unemployed resulting in low self esteem and self confidence. Juvenile crime is high. The local school, including the nursery department, has the highest exclusion rate in Dundee. We will provide activities for both children and parents designed to improve social wellbeing."	We require someone who is interested in play equipment for young children and understands the need for equipment to be clean and safe. A person who is aware of the importance of storing equipment safely and in an orderly manner would be welcomed by this h	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Bus fares will be remibursed on production of ticket.	"St Ninians Church, Kingsway East, Dundee. This is easily reached by taking a bus to Asda's in Mid Craigie and walking along to the church."	Katherine Dunn	01382 453818	stninianstayandplay@gmail.com
Charity Shops / Retail	VO38783	5	British Heart Foundation (Dundee)	Health/Hospitals/Hospices	Warehouse Operatives	"Duties include loading and unloading furniture from vans, ensuring that goods are moved on and off the sales floor efficiently and safely, ensuring customer orders are assembled and packed correctly. Full training given. This position will no doubt give the individuals who are looking to gain employment in the Warehouse industry the vital experience and a reference necessary for future employment. So if you feel you would like to work for a charity that raises money to help save lives, then we would love to hear from you."	"The aim of the British Heart Foundation (BHF) is to play a leading role in the fight against heart disease. The BHF aims to do this through research, education and care, funding medical research, providing support and information, also providing life saving equipment for hospitals and funding BHF nurses."	We are looking for people who have people skillls & enjoy working with others. Warehouse work often means heavy lifting so someone who is physically fit would be advantageous.	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		Dundee Wellgate Centre British Heart Foundation.	Store Manager	01382 624081	d32@bhf.org.uk
Befriending / Mentoring	VO38788	10	Whizz-Kidz	Physical Disability	Buddy	"Whizz-Kidz is looking for bright and enthusiastic volunteers to assist us in the delivery of our Kidz unlimited project. This includes Wheelchair Skills Training programmes and Ambassador Clubs for young wheelchair users. Volunteers are there to encourage the kids to get involved and give things a go, acting as their ?buddy? on the day. Wheelchair Skills Training programmes are held over a period of 3 ? 5 days, often but not always in the school holidays - times vary. Ambassador Clubs will take place in this area approximately every 8 weeks for one day ? usually a Saturday or during the school holidays and last from 9am ? 4pm. The more days volunteers are able to make, the more they will get out of it. These roles would ideally suit someone who is studying to become an occupational therapist, physiotherapist, speech therapist, social worker, teacher, however this is not a necessary requirement. Previous experience of working with disabled people or children is desired but not essential. ONLINE APPLICATIONS THROUGH WEBSITE ONLY. WWW.WHIZZ-KIDZ.ORG.UK,"	"Whizz-Kidz is a charity that is all about giving disabled children and young people the independence to enjoy an active childhood ? at home, at school and at play. By providing them with customised mobility equipment, training, advice and life skills, we actually give them something much more important; the independence to be themselves. We make an immediate and life changing difference to their lives and their families."	"Essential skills: Enthusiastic, active, outgoing, supportive, friendly and sensitive to others, proactive and not afraid to get involved, ability to communicate with young people, Flexible. Desired experience: Experience of working with disabled people,"	16	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	0	0	0	40p per mile for petrol costs. £30 max public transport expenses paid.	Locations may vary.	Amy Senior	0207 798 6117	info@whizz-kidz.org.uk
Sports / Outdoor activities	VO38789	5	Dundee Healthy Living Initiative	Health/Hospitals/Hospices	Jog Leader (Females Only)	"Ardler Running Ladies are affiliated with Jog Scotland with the aim of encouraging women to take up running to help improve their health, fitness and self-esteem. We would welcome female volunteers who will initially join as a group member in order to gain an understanding of how the group operates. Your role will be negotiated with you. Some of the responsibilities are - to attend and support participants taking part in local runs and races; to lead jogs and to some extent, ensure the safety of the group; organise routes to run, complete registers and support group members of different physical abilities to take part in the runs and help to build their confidence levels and enable them to progress within the sport; and to take part in occasional jog leader and committee meetings that are integral to the development of the group."	"We work in areas identified with Health inequalities. We work in partnership with local communities to set up and provide services. These are health related and include groups in the following; walking, pram pushing, jogging, stress management, cooking (male and female only groups) exercise to music, chair aerobics, gardening, smoking cessation, winning weigh, tai chi and badminton. Nurses in our teams also offer free health checks (including blood pressure and blood sugar levels) talks and health stalls."	"The ability to work as part of a group, motivational and have good people skills. Have a certain level of fitness - the group will support you to build your fitness level."	18	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	Travel expenses (fuel and public transport) to and from the group and expenses incurred during the jogging group (not including food) will be reimbursed on a monthly basis.	Various locations in and around Dundee. Bus trips may be arranged.	Alison Christie	01382 831452	alison.christie@dundeecity.gov.uk
Committee Work	VO38796	5	Save By The Bell	Children	Management Committee Members	"The business of Save by the Bell is managed by the Management Committee who set priorities in the use of staff and other resources. An opportunity exists for interested individuals to join the Management Committee and assist in the management of Save by the Bell. Management Committee members will be expected to attend Committee meetings to discuss issues affecting Save by the Bell staff, funding and business with other Management Committee members and to participate in any decisions required."	Save by the Bell (SBTB) is a school-based project which aims to provide financial education to pupils and to complement financial inclusion initiatives within the City of Dundee. We aim to encourage children and young people to develop a regular savings habit which can be sustained during their adult life.	An interest in the aims of Save by the Bell which is to give young people in Dundee the opportunity to learn about saving and an understanding of how money works.	16	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	Travel expenses are paid monthly where volunteers are travelling to the office or for meetings (current mileage rate = 40p)	"In the Save by the Bell office within Central Library, Wellgate Centre, Dundee, DD1 1DB or at monthly management meetings in Sidlaw View Primary School, Dundee"	Kathryn McKay	01382 431577	info.savebythebell@dundeecity.gov.uk
Catering	VO38799	2	Age Concern Dundee	Elderly	Kitchen Helper	"In order to support centre staff and other volunteers to spend more time with centre users, an able person is required to assist with all kitchen related work. Although the centre does not cook food on site, hot food is served. Other main duties relate to dish washer operation, kitchen surface cleaning and table setting and cleaning. All of these activities to be conducted to agreed standards. Regular contact will be made with centre users, staff and other volunteers, therefore good communication skills are required as well as the ability to be adaptable and work as part of a team."	"Age Concern Dundee exists to promote the wellbeing and social inclusion of older people by: identifying their changing needs, through consultation with them and their carers; and active involvement in policy planning and development of services."	Good listening and communication skills as well as patience and an understanding of older people. Ability to work as part of a team and to cope within a busy and active workplace.	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Local bus fares will be reimbursed on production of tickets.	"The Five Ways Centre, 2/4 Caird Avenue, Dundee. Good public transport links to most parts of the city."	Patrick Delargy	01382 825624	patrick@ageconcerndundee.com
Care / Support worker	VO38800	1	Age Concern Dundee	Elderly	Day Centre Helper	"In order to enrich the experience of older people attending our centre, we are keen to attract volunteers who can conduct one-to-one or small group discussions and activities. In addition the opportunity also allows the volunteers to support day centre staff in their work with centre users whether that be specific activities and/or planned outings. The nature of day centre work, also requires the volunteer to be flexible and assist in the day-to-day running of the centre. A good communicator, patience and an understanding of the needs of older people are essential. Disclosure checks and references will be sought."	"Age Concern Dundee exists to promote the wellbeing and social inclusion of older people by: identifying their changing needs, through consultation with them and their carers; and active involvement in policy planning and development of services."	"Good listening and communication skills as well as patience and an understanding of older people. We are open to hearing about any skills, hobbies or interests that the volunteer have and, were appropriate, would want to utilise these within the day centr"	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Local bus fares will be reimbursed on production of tickets.	"Our day centres are at: The Five Ways Centre, 2/4 Caird Avenue, Dundee. (Good public transport links to most parts of the city. The Broughty Ferry Centre, 343 Brook Street, Broughty Ferry. (Regular bus links to Dundee city centre)."	Patrick Delargy	01382 825624	patrick@ageconcerndundee.com
Charity Shops / Retail	VO38805	2	Boomerang	Elderly	Charity Shop Worker	This is a great opportunity for a friendly and outgoing person to join our team and support the work of Boomerang by helping out at the Arthurstone Street charity shop. All funds raised by the shop go towards our elderly service provision. You can get involved in the following duties: Serving customers of the charity shop; Sorting bags; Steaming/ironing clothes; Pricing garments for sale; Helping to keep the shop tidy and safe for both staff and customers; Assisting the Shop Manager in compiling stock aides; Replenishing and replacing stock as required; Merchandising and display and Promoting the work of Boomerang.	"Boomerang was set up in 1999 to provide a safe, comfortable and friendly centre in the heart of the community to stimulate community involvement and development with an aim to community regeneration. The project provides a user led centre assisting a variety of groups with varying interests to increase confidence, promote skills and strengthen individual identity and responsibilities."	Good customer care/service skills and a friendly personality.	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Public transport costs will be reimbursed monthly.	"Boomerang Charity shop is situated in Stobswell in Arthurstone Terrace, Dundee and is well serviced by public transport."	Neil Ellis	01382 455656	neil@boomerang110.co.uk
Driving / escorting	VO38811	20	British Red Cross - East Scotland ***	Health/Hospitals/Hospices	Renal Patient Transport	"Typical tasks and responsibilities include: conveying passengers and escorts safely from their starting point to their final destination in the Red Cross vehicle; working with another volunteer to assist passengers to and from the vehicle; performing routine checks on the vehicle, recording information in the logbook and reporting any defects/incidents; to keep and maintain accurate records; to deliver the service in line with British Red Cross standards, policies and principles and to work with other team members and the manager to ensure the smooth running of the service."	"The British Red Cross is a volunteer-led humanitarian organisation that helps people in crisis, whoever and wherever they are. We enable vulnerable people at home and overseas to prepare for and respond to emergencies in their own communities. When this crisis is over, we help people recover and move on with their lives."	"One satisfactory reference. Ability, enthusiasm and sensitivity for communicating with people who are unwell. Able to work on your own as well as part of a team. The ability to be discreet and miaintain confidentiality."	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	Travel expenses are paid for all volunteers.	Across Dundee.	Catriona Herd	0131 338 5700	mv@redcross.org.uk
Practical /DIY	VO38814	2	St Andrews Family Support Project	Children	Playroom Equipment Handler	We work from the halls at St Andrew's Parish Church each week we have to set up and put away all the equipment that we use. This means lifting and handling tables and play apparatus to create a dining hall and a fun playroom. The playroom is set up from 9ish on a Wednesday morning and taken down on a Thursday from 4pm. It is an important part of the play opportunities that we offer and each week we create a different play environment for the children and parents to enjoy. If you could commit a couple of hours each week to help support this and become part of our friendly team then we want to hear from you. Refreshments and lifting and handling training offered.	"The St Andrew's Family Support Project aims to encourage and support young parents, 21 years and under, and their children, as individuals and in families, to overcome the difficulties they may face, to develop their self esteem, to build their confidence, to promote their own learning abilities, to share their life skills and to promote their own well-being, mentally, spiritually and physically.We offer a welcoming, non-judgemental parent support facility for young parents, 21 and under, and their children. The young parents can meet together, receive support and help if wanted and be encouraged to develop positive interaction and play skills with their children. We also offer a creche (2pm - 4pm) in order for the parents to access education and training."	The volunteer would require an open and non judgemental attitude towards children and young people. Must be physically able to move equipment/tables etc.	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	Bus fares are paid.	"We meet in the halls of St Andrew's Parish Church in King Street, next door to the Wellgate shopping centre."	Claire Andrews	01382 200466	parishproject@btconnect.com
Catering	VO38815	4	St Andrews Family Support Project	Children	Lunchtime Helper	"We have a small team of volunteers who buy(budget provided), make and serve the lunch and clean up after. You will work as a part of a team to create healthy lunches for parents and children who attend including a variety of delicious soups. You will help set up a healthy and attractive lunch table, provide a varied range of healthy snacks and comply with food hygiene regulations(training provided). We are looking for people to support this and become part of our friendly team. If you are an enthusiastic promoter of healthy eating and want to make a difference to young lives then we would like to hear from you."	"The St Andrew's Family Support Project aims to encourage and support young parents, 21 years and under, and their children, as individuals and in families, to overcome the difficulties they may face, to develop their self esteem, to build their confidence, to promote their own learning abilities, to share their life skills and to promote their own well-being, mentally, spiritually and physically.We offer a welcoming, non-judgemental parent support facility for young parents, 21 and under, and their children. The young parents can meet together, receive support and help if wanted and be encouraged to develop positive interaction and play skills with their children. We also offer a creche (2pm - 4pm) in order for the parents to access education and training."	The volunteer would require an open and non judgemental attitude towards children and young people. An interest in healthy eating would be helpful in this role.	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	Bus fares.	"The St Andrew's Family Support Project meets in the halls of St Andrew's Parish Church in King Street, next door to the Wellgate shopping centre."	Claire Andrews	01382 200466	parishproject@btconnect.com
Catering	VO38817	1	Deaf Links	Sensory Impairment	Waiting Staff	Tayside Deaf Hub has opened a Social Enterprise Café to help fund their organisation. Open from 9am to 4pm it has become increasingly busy. We now feel that we need to add to the existing staff and need people to wait tables and be involved in till work and any other activities associated with running a Cafe	"Empower deaf people to become equal citizens in the wider community. To support this we run a variety of social enterprise activities including café, room hire, catering, BSL training, communications support and deaf and deafblind awareness training."		16	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	0	0	0	0	0	0	Travel expenses can be paid within Dundee.	Our organisation is housed at 23 Brown Street in Dundee City Centre.	Alana Trusty	01382 201077	alana@deaflinks.org.uk
Driving / escorting	VO38833	16	Food Train Dundee	Elderly	Driver	"Driving our company van, the driver will collect the groceries from the supermarket and load them onto the van, working out a route that best suits the delivery pattern and is economical for fuel efficiency. They, along with a helper, will deliver the groceries to the customer and put the shopping away for them, if required. Drivers will be required to collect shopping lists from customers. They will also be asked to check the van on a regular basis for maintenance requirements. Drivers will be required to be disclosure checked."	"Our aim is to support older people to live independently at home. Our preventative services address the difficulty older people face getting their weekly grocery shopping, doing jobs around the house and the growing isolation that comes with failing health. We also aim to provide a wide range of supported volunteering opportunities for people of all ages and ability and these include shopper, driver, delivery assistant and office assistant."	A full driving licence is required. Some experience of working with older people would be useful. An interest in food and shopping would also be helpful.	25	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	0	0	0	0	0	0	Travel expenses will be reimbursed (bus ticket or car travel @ 25p per mile for journeys over 5 miles).	"Van to be collected from The Food Train office, Market Mews, Market Street (on bus routes 5, 39A, 73B, 75)."	Grant Simmons	01382 459202	dundee@thefoodtrain.co.uk
Care / Support worker	VO38835	16	Food Train Dundee	Elderly	Delivery Assistant	"Delivery assistants will meet the volunteer driver at the supermarket and help to check the shopping through the check-out. After loading the shopping into the van, you will accompany the driver delivering the groceries to customers and unloading for the customer in their home. Delivery assistants will be required to be disclosure checked."	"Our aim is to support older people to live independently at home. Our preventative services address the difficulty older people face getting their weekly grocery shopping, doing jobs around the house and the growing isolation that comes with failing health. We also aim to provide a wide range of supported volunteering opportunities for people of all ages and ability and these include shopper, driver, delivery assistant and office assistant."	An interest in food and shopping would be helpful. Some experience of working with older people would also be useful.	16	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	0	0	0	0	0	0	Travel expenses will be reimbursed (bus ticket or car mileage @ 25p per mile for journeys over 5 miles.	"Initially meeting the van at The Food Train office, Market Mews, Market Street (on bus routes 5, 39A, 73B, 75)."	Grant Simmons	01382 459202	dundee@thefoodtrain.co.uk
Charity Shops / Retail	VO38836	16	Food Train Dundee	Elderly	Shopper	"The 'in-store' shopper will pick the groceries from the shopping list prepared by the customer, going around the store loading the items into the customer's shopping box. The shopper will also pass the groceries through a dedicated shopping lane, checking all items are there and packing the items into the shopping boxes once again ready for the driver and delivery assistant to load up the vans for delivery to the customers."	"Our aim is to support older people to live independently at home. Our preventative services address the difficulty older people face getting their weekly grocery shopping, doing jobs around the house and the growing isolation that comes with failing health. We also aim to provide a wide range of supported volunteering opportunities for people of all ages and ability and these include shopper, driver, delivery assistant and office assistant."	An interest in food and shopping would be helpful.	16	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	0	0	0	0	0	0	Travel expenses will be reimbursed (bus ticket or car mileage @ 25p per mile for journeys over 5 miles.	The opportunity will be within one of the leading supermarkets in Dundee.	Grant Simmons	01382 459202	dundee@thefoodtrain.co.uk
Playschemes / Childrens Clubs	VO38838	10	Mill of Mains Out of School Club	Children	Play Worker	"The club provides play experiences for children aged 5-12 years after school and during school holidays. We would like volunteers to assist staff with the provision of this service, enabling them to gain experience of working with children within a childcare setting. Volunteers will have opportunities to play with children in a variety of ways, support them with art activities, physical play and be outdoors. Opportunities will be given to organise activities and become involved in planning and evaluation."	To provide care and education of children in need of care during out of school hours and school holidays.	An interest or/and experience working with children. Specialist skills/ knowledge in areas such as art or sport would be welcome.	16	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	0	0	0	0	0	0	"Negotiable, depending on distance to travel."	"Mill of Mains Out of School Club is based at Mill of Mains Primary School, Barns of Claverhouse Road (bus routes 19 and 36)."	Nicola Dall	01382 438576	nicola@millofmainsoosc.co.uk
Catering	VO38851	1	Lochee Parish Church Drop Inn Community Café	Anti poverty work	Cafe Assistant	"Can you engage with local people in a warm friendly environment? Can you help to set up tables and serve customers? Do you have a friendly face and a listening ear? We need you to help in our cafe. You would work as part of our volunteer team to welcome our users to the cafe, help to set up the tables at the start of the day, serve pre-prepared hot soup and bread (and cold food when required), and clear and wash tables as they are used. We also need help to wash dishes and sweep and mop floors at the end of the day, to keep all work surfaces clean and tidy, to keep condiment supplies topped up and containers clean, and to comply with any food, hygiene, health and safety regulations."	"The Drop Inn Café is run by volunteers and provides a welcoming and friendly place for all to meet. We are open to people from all backgrounds and provide a free bowl of hot soup, a chance to chat, to eat a healthy snack and to make new friends. There is an unsupervised play area for children to use."	"We are looking for a friendly person, able to work well with other people as part of a team, able to follow instructions and comfortable chatting to people from all backgrounds."	18	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0		Lochee Parish Church in the High Street.	Muriel Black	01382 610596	renadoig@hotmail.com
Fundraising	VO38855	4	United Nations Children's Fund	Crime / Safety	Fundraising Group Member	"We are a small, friendly committee trying to raise funds for and publicise the work of UNICEF. We run three or four events a year, such as coffee mornings, pub quizzes, concerts and demonstrations. We need your help with planning, arranging, publicising and selling tickets for events. You can get involved by running a stall, selling raffle tickets, serving tea and coffee or participate in many other ways."	"UNICEF works in 190 countries to ensure that every child has its basic rights met. These are a right to: an education, adequate health care and clean water, be treated fairly and the right to a childhood. UNICEF works both on long-term projects and in emergency situations. Our branch raises funds to help ""Put it Right""."	"We are looking for an enthusiastic, creative person with good communication skills and lots of good ideas to help with our fundraising activities. No experience required."		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Available on request	Our events take place in various venues in Dundee with planning meetings held in members' homes. Venues are usually accessible by public transport.	Sue Smith	020 7375 6789	claren@unicef.org.uk
Community / Economic Development Work	VO38859	20	TimeTree NorthEast Dundee TimeBank	Families	Time Bank Member	"TimeTree is looking to hear from individuals, mainly from Fintry, Whitfield, Mill O'Mains and Dalclaverhouse, who would like to help out in their local community but also receive something back. For every hour that someone volunteers they receive an hour's credit to ""spend"" when they need a service in return. For example, one person may provide gardening and in return get help with computer skills. Everyone has something to offer and something to give! You can give as little or as much as you want. It could be that you are walking someone's dog on a weekly basis or maybe just providing a one-off service such as helping someone with building some furniture. It's entirely up to you!"	"TimeTree is a time bank, a new and exciting way for people in Whitfield, Fintry, Mill O'Mains and Dalclaverhouse to share their skills within the community and be rewarded for it - in time. By helping others you can meet new people, do the things you enjoy and get something back. For every hour a member contributes they receive an hour ""time credit"". A time bank member can then exchange their time credit when they need something done or donate their credit to someone else (e.g., grass cutting, collecting prescriptions)."	"Time banking works on the principle that everyone has something to offer, no matter who they are or what age they are!"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		"Anywhere in Fintry, Whitfield, Mill O'Mains and Dalclaverhouse. The TimeTree office is based in Whitfield."	Scott Ferguson	01382 438594	scottferguson@number10.org
Playschemes / Childrens Clubs	VO38862	20	Home-Start Dundee	Families	Group Supporter	"Home-Start Dundee provides support to families who have at least one child of pre-school age. Our group activities are led by a Group Worker and held within Dundee City Centre. They allow families to come together, socialise and participate in a programme of planned activities that encourage family cohesion and child development through play. The Group Supporter can help the Group Worker to plan and prepare the programme of activities and will assist at the set-up and conclusion of each session. During the session the Group Supporter will engage with the families and other staff, assist with providing refreshments, encourage positive participation by the families to have fun in a safe and rewarding environment."	"The organisation aims to offer support, friendship and practical assistance to families; visit families who have at least one child under 5 years in their own homes, encourage parents to play with and understand their children and build the parents' self-confidence; and re-assure parents' that difficulties in bringing up children are not unusual."	"The Group Supporter should enjoy being with other people, have an interest in families and be able to assist the Group Worker and other staff to encourage families to engage in activities together."	17	0	1	0	1	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	Public transport rate or mileage allowance as appropriate.	Dundee City Centre near all bus / rail routes. Parking available nearby.	Derek Hobbs	01382 202040	admin@homestart-dundee.org.uk
Advice / Information giving	VO38866	30	Transform Community Development	Environment	Zero Waste Champion	"Ever wanted to develop a wormery? Fancy taking part in a composting project or interested in getting involved with food waste reduction? Volunteers help promote waste reduction using a variety of fun and informative ideas such as a cook off between chefs to make meals from leftovers. If this sounds like your kind of activity why not help us to promote waste reduction in the community in a friendly and informal manner? Providing information on easy ways to reduce waste and encourage recycling will make a gradual but lasting impact on the region's landfill rates. Volunteers will receive initial training as well as on going training to allow up-to-date knowledge to be passed on. All training and events will be at no cost to volunteers. In return Volunteers will meet like minded individuals, have fun, learn new skills and be given a reference."	"Transform Community Development works with vulnerable individuals within the city to provide accommodation, support, advice and opportunities in a variety settings. The organisation also aims to increase public awareness of issues surrounding homelessness through education. All the organisation's services are provided in a non-judgemental way and without prejudice."	No particular skills are required as training is given. It would be helpful if you are comfortable about speaking to the public.	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"Travel expenses will be met on production of cost evidence, i.e. receipt for public transport or mileage at 30p per mile."	Volunteers will attend community events throughout Dundee and Angus. Transport will be arranged where possible and travel costs will be covered on provision of receipts.	David Nicoll	01382 224966	dnicoll@transformcd.org
Finance / Accountancy	VO38867	1	YE Amphibious Ancient Bathing Association	Sport / Outdoor activities	Treasurer	"We are looking for someone to help us manage club finances by dealing with all income and expenditure, paying all bills, setting up direct debits, etc. Most entries for the club are online, so you will need to be computer literate. It would be helpful if you had knowledge of pay pal, gift aid, electronic transactions and VAT, or are willing to learn. The treasurer will be expected to produce a monthly balance sheet and at the end of the financial year source assistance to have the books audited."	"A) Promote and manage the teaching, knowledge and practice of one or more Aqua Sports, in accordance with paragraph C2.2 and C2.5 of the SASA Constitution. B) The main purpose of the club is to provide facilities, opportunities and encouragement for membe"	"We are looking for someone who is computer literate, preferably with a clerical, administration, finance/book-keeping background."	16	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	Bus fares will be reimbursed or mileage paid at 40p per mile.	"Meetings are held at the clubhouse in Broughty Ferry, four miles from the centre of Dundee, on the second Wednesday of the month."	Louise Dunnin	01382 294548	ldunnin@live.co.uk
Computing	VO38868	4	Caledonia Housing Association (Dundee)	Elderly	Computer Group Facilitator	"This is a fantastic opportunity to use your computer skills and develop a fun, friendly social group in a Supported Housing Scheme. Caledonia Housing Association is supporting interesting and stimulating social activities for older residents that will link them into the wider community. Small groups or one to one, looking for support to receive and send information; browse the web; and possibly develop other methods including skype etc. This will be very much a social group and the ability to encourage social interaction will be as important as computer skills. If you have computer skills; a friendly personality; and can spare 2 hours a week / fortnight, we would love to hear from you."	"Caledonia Housing Association provides sustainable homes and a range of services for its tenants. The majority of its tenants are older people, from retirement age up. The volunteer programme is designed to support services for older people or those disadvantaged through disability or ill-health, living in the Dundee area. Home Help Service - Domestic Home Help service enabling customers to stay in their own home. Flexible personalised and professional service to you. All staff are PVG approved. Combatting social isolation."	"We are looking for people with a good understanding of computers. This will be someone confident in general computer set-up and fault finding ? the ability to establish an email address ? Microsoft Outlook ? and be able to use the web. These groups will be very much in a social setting, so a friendly, welcoming attitude and a desire to support older people is equally as important."	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Travel costs for bus or rail will be reimbursed. Car expenses will be paid at 45p per mile.	"This could be at one of number of locations/sheltered housing schemes around Dundee, so the ability to travel would be useful. Perth road area would be the starting place"	Gary Flew	01382 237179	gary.flew@caledoniaha.co.uk
Advice / Information giving	VO38870	30	Transform Community Development	Environment	Waste Champion	"Transform Community Development is working in partnership with Zero Waste Scotland with the aim of reducing waste in Dundee and Angus. Volunteers will help to promote waste reduction in the community by engaging with the public in a friendly and informal manner. Providing information on easy ways to reduce waste and encourage recycling can make a gradual but lasting impact on the region's landfill rates. Volunteers will receive initial training as well as ongoing training to allow up-to-date knowledge to be passed on. All training and events will be at no cost to volunteers. In return, volunteers will be given the chance to meet like-minded individuals, have fun and learn new skills."	"Transform Community Development works with vulnerable individuals within the city to provide accommodation, support, advice and opportunities in a variety settings. The organisation also aims to increase public awareness of issues surrounding homelessness through education. All the organisation's services are provided in a non-judgemental way and without prejudice."	"No particular skills are required as training is provided. However, volunteers will be required to speak to the public."	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Travel expenses will be met on production of receipts for public transport or mileage at 30p per mile.	Volunteers will be given the opportunity to attend community events throughout Dundee and Angus. Travel costs will be covered and transport arranged whenever possible.	David Nicoll	01382 224966	dnicoll@transformcd.org
Driving / escorting	VO38871	12	Caledonia Housing Association (Dundee)	Elderly	Buddy/Companion	"This is a wonderful opportunity to support ?older people? by becoming a short-term Buddy or Companion. Caledonia Housing Association is putting together a list of volunteers who can be contacted to enable older people to attend meetings, appointments or social events throughout Dundee. The volunteer will agree to be a companion, escorting the older person to the activity and supporting them during the activity. It may be a hospital visit, shopping, opticians, visit a place of interest or family member. For most of us, going out and about is a daily occurrence that we take for granted. However, for a number of older people this can be a worrying experience causing unnecessary stress and heightening the feeling of isolation. Can you spare time once a week, fortnight or month? Use your car or help someone use public transport? Be a companion? Then get in touch and make a difference!"	"Caledonia Housing Association provides sustainable homes and a range of services for its tenants. The majority of its tenants are older people, from retirement age up. The volunteer programme is designed to support services for older people or those disadvantaged through disability or ill-health, living in the Dundee area. Home Help Service - Domestic Home Help service enabling customers to stay in their own home. Flexible personalised and professional service to you. All staff are PVG approved. Combatting social isolation."	"We are looking for reliable, responsible and caring people with a friendly and cheerful personality who have a genuine interest in volunteering with older people. Ideally you will be a responsible driver, willing to use your car, or you are prepared to t"	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"All travel costs on public transport will be reimbursed. For those people with cars, mileage will be paid at 45p per mile."	"Trips will be from the Supported Houses Scheme / or individual's house to the event, and return, mainly in the Dundee area. Volunteers will be contacted and asked if they are willing to undertake the journey and activity prior to an agreement."	Gary Flew	01382 237179	gary.flew@caledoniaha.co.uk
